id,doc_date,payment_date,direction,doc_type,counterparty,invoice_no,net,vat_rate,gross,vat_treatment,category,source,reverses,note
L2026-0011,2026-01-10,2026-01-13,expense,invoice,Deutsche Post AG,DEUT-2026-0723,69.29,0.00,69.29,exempt,postage,archive/finanzen/2026/eingang/DEUT-2026-0723.pdf,,
L2026-0012,2026-01-15,2026-01-18,expense,invoice,Deutsche Post AG,DEUT-2026-0460,370.91,19.00,441.38,standard,shipping,archive/finanzen/2026/eingang/DEUT-2026-0460.pdf,,
L2026-0013,2026-01-18,2026-01-21,expense,invoice,eBay GmbH,EBAY-2026-5024,433.38,0.00,433.38,reverse_charge,fees_marketplace,archive/finanzen/2026/eingang/EBAY-2026-5024.pdf,,
L2026-0014,2026-01-19,2026-01-24,income,invoice,Shopify Payments (Auszahlung),AUSZ-202601,1277.11,0.00,1277.11,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202601.pdf,,
L2026-0015,2026-01-20,2026-01-27,expense,invoice,Hetzner Online GmbH,HETZ-2026-2735,157.26,19.00,187.14,standard,software,archive/finanzen/2026/eingang/HETZ-2026-2735.pdf,,
L2026-0016,2026-01-22,2026-02-05,income,invoice,PayPal (Auszahlung),AUSZ-202601,1240.85,0.00,1240.85,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202601.pdf,,
L2026-0017,2026-01-22,2026-02-03,income,invoice,Hofladen Wiese,RE-2026-005,451.13,0.00,451.13,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-005.pdf,,
L2026-0018,2026-01-22,2026-01-29,expense,invoice,Ratioform GmbH,RATI-2026-2744,229.43,19.00,273.02,standard,packaging,archive/finanzen/2026/eingang/RATI-2026-2744.pdf,,
L2026-0019,2026-01-23,2026-01-23,income,invoice,Amazon EU S.à r.l.,SETTL-202601,1087.32,0.00,1087.32,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202601.pdf,,
L2026-0020,2026-01-25,2026-02-08,expense,invoice,DHL Paket GmbH,DHL-2026-6427,343.24,19.00,408.46,standard,shipping,archive/finanzen/2026/eingang/DHL-2026-6427.pdf,,
L2026-0021,2026-01-27,2026-02-03,expense,invoice,Holzwerk Brandt GmbH,HOLZ-2026-8549,1421.76,19.00,1691.89,standard,goods,archive/finanzen/2026/eingang/HOLZ-2026-8549.pdf,,
L2026-0022,2026-02-02,2026-02-05,expense,invoice,Karton König e.K.,KART-2026-3744,184.33,19.00,219.35,standard,packaging,archive/finanzen/2026/eingang/KART-2026-3744.pdf,,
L2026-0023,2026-02-03,2026-02-03,income,invoice,eBay GmbH,SETTL-202602,1057.85,0.00,1057.85,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202602.pdf,,
L2026-0024,2026-02-03,2026-02-04,expense,invoice,DHL Paket GmbH,DHL-2026-7692,231.72,19.00,275.75,standard,shipping,archive/finanzen/2026/eingang/DHL-2026-7692.pdf,,
L2026-0025,2026-02-04,2026-02-06,income,invoice,Amazon EU S.à r.l.,SETTL-202602,1126.05,0.00,1126.05,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202602.pdf,,
L2026-0026,2026-02-06,2026-02-13,expense,invoice,Deutsche Post AG,DEUT-2026-3712,207.85,19.00,247.34,standard,shipping,archive/finanzen/2026/eingang/DEUT-2026-3712.pdf,,
L2026-0027,2026-02-09,2026-03-14,income,invoice,Buchhandlung Kessler,RE-2026-022,382.47,0.00,382.47,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-022.pdf,,
L2026-0028,2026-02-11,2026-02-13,income,invoice,PayPal (Auszahlung),AUSZ-202602,1185.43,0.00,1185.43,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202602.pdf,,
L2026-0029,2026-02-11,2026-02-25,expense,invoice,sevDesk GmbH,SEVD-2026-5113,133.62,19.00,159.01,standard,software,archive/finanzen/2026/eingang/SEVD-2026-5113.pdf,,
L2026-0030,2026-02-14,2026-02-23,income,invoice,Shopify Payments (Auszahlung),AUSZ-202602,1161.59,0.00,1161.59,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202602.pdf,,
L2026-0031,2026-02-14,2026-02-26,income,invoice,Buchhandlung Kessler,RE-2026-023,442.27,0.00,442.27,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-023.pdf,,
L2026-0032,2026-02-16,2026-02-17,expense,invoice,Deutsche Post AG,DEUT-2026-7156,45.25,0.00,45.25,exempt,postage,archive/finanzen/2026/eingang/DEUT-2026-7156.pdf,,
L2026-0033,2026-02-21,2026-02-24,expense,invoice,Nordic Glass ApS,NORD-2026-6637,1095.21,19.00,1303.30,standard,goods,archive/finanzen/2026/eingang/NORD-2026-6637.pdf,,
L2026-0034,2026-02-23,2026-03-16,expense,invoice,Nordic Glass ApS,NORD-2026-9082,1239.91,19.00,1475.49,standard,goods,archive/finanzen/2026/eingang/NORD-2026-9082.pdf,,
L2026-0035,2026-02-25,2026-02-28,expense,invoice,eBay GmbH,EBAY-2026-1950,487.30,0.00,487.30,reverse_charge,fees_marketplace,archive/finanzen/2026/eingang/EBAY-2026-1950.pdf,,
L2026-0036,2026-02-26,2026-03-31,income,invoice,Hofladen Wiese,RE-2026-021,404.53,0.00,404.53,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-021.pdf,,
L2026-0037,2026-02-27,2026-03-29,expense,invoice,Hetzner Online GmbH,HETZ-2026-8050,115.49,19.00,137.43,standard,software,archive/finanzen/2026/eingang/HETZ-2026-8050.pdf,,
L2026-0038,2026-03-01,2026-03-08,income,invoice,Buchhandlung Kessler,RE-2026-038,539.54,0.00,539.54,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-038.pdf,,
L2026-0039,2026-03-03,2026-04-02,expense,invoice,Deutsche Post AG,DEUT-2026-1016,376.58,19.00,448.13,standard,shipping,archive/finanzen/2026/eingang/DEUT-2026-1016.pdf,,
L2026-0040,2026-03-05,2026-03-12,income,invoice,Buchhandlung Kessler,RE-2026-037,556.20,0.00,556.20,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-037.pdf,,
L2026-0041,2026-03-05,2026-03-26,expense,invoice,Leinenweberei Voss,LEIN-2026-0725,1329.57,19.00,1582.19,standard,goods,archive/finanzen/2026/eingang/LEIN-2026-0725.pdf,,
L2026-0042,2026-03-07,2026-03-09,income,invoice,PayPal (Auszahlung),AUSZ-202603,1772.04,0.00,1772.04,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202603.pdf,,
L2026-0043,2026-03-07,2026-03-09,income,invoice,Amazon EU S.à r.l.,SETTL-202603,1327.37,0.00,1327.37,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202603.pdf,,
L2026-0044,2026-03-07,2026-04-06,expense,invoice,DHL Paket GmbH,DHL-2026-6404,363.44,19.00,432.49,standard,shipping,archive/finanzen/2026/eingang/DHL-2026-6404.pdf,,
L2026-0045,2026-03-09,2026-03-30,expense,invoice,Hetzner Online GmbH,HETZ-2026-4084,182.11,19.00,216.71,standard,software,archive/finanzen/2026/eingang/HETZ-2026-4084.pdf,,
L2026-0046,2026-03-11,2026-03-12,expense,invoice,eBay GmbH,EBAY-2026-5187,561.20,0.00,561.20,reverse_charge,fees_marketplace,archive/finanzen/2026/eingang/EBAY-2026-5187.pdf,,
L2026-0047,2026-03-15,2026-03-25,expense,invoice,Steuerkanzlei Behrens & Ude,STB-2026-03,380.00,19.00,452.20,standard,advisory,archive/finanzen/2026/eingang/STB-2026-03.pdf,,Jahresabschluss-Vorbereitung
L2026-0048,2026-03-16,2026-04-15,expense,invoice,Leinenweberei Voss,LEIN-2026-4150,1116.56,19.00,1328.71,standard,goods,archive/finanzen/2026/eingang/LEIN-2026-4150.pdf,,
L2026-0049,2026-03-16,2026-04-06,expense,invoice,Deutsche Post AG,DEUT-2026-5853,84.36,0.00,84.36,exempt,postage,archive/finanzen/2026/eingang/DEUT-2026-5853.pdf,,
L2026-0050,2026-03-20,2026-04-03,expense,invoice,Ratioform GmbH,RATI-2026-9663,250.43,19.00,298.01,standard,packaging,archive/finanzen/2026/eingang/RATI-2026-9663.pdf,,
L2026-0051,2026-03-21,2026-03-21,income,invoice,Amazon EU S.à r.l.,SETTL-202603,1292.12,0.00,1292.12,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202603.pdf,,
L2026-0052,2026-03-24,2026-03-26,income,invoice,Shopify Payments (Auszahlung),AUSZ-202603,1351.06,0.00,1351.06,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202603.pdf,,
L2026-0053,2026-03-27,2026-04-26,expense,invoice,Hetzner Online GmbH,HETZ-2026-3013,183.54,19.00,218.41,standard,software,archive/finanzen/2026/eingang/HETZ-2026-3013.pdf,,
L2026-0054,2026-03-28,2026-04-17,income,invoice,Café Morgenrot,RE-2026-039,562.33,0.00,562.33,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-039.pdf,,
L2026-0055,2026-04-01,2026-04-15,expense,invoice,Karton König e.K.,KART-2026-8044,299.77,19.00,356.73,standard,packaging,archive/finanzen/2026/eingang/KART-2026-8044.pdf,,
L2026-0056,2026-04-09,2026-04-09,income,invoice,PayPal (Auszahlung),AUSZ-202604,1736.61,0.00,1736.61,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202604.pdf,,
L2026-0057,2026-04-11,2026-04-12,expense,invoice,Holzwerk Brandt GmbH,HOLZ-2026-5709,1589.48,19.00,1891.48,standard,goods,archive/finanzen/2026/eingang/HOLZ-2026-5709.pdf,,
L2026-0058,2026-04-12,2026-05-02,income,invoice,Hofladen Wiese,RE-2026-055,698.79,0.00,698.79,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-055.pdf,,
L2026-0059,2026-04-13,2026-04-20,expense,invoice,Amazon EU S.à r.l.,AMAZ-2026-2341,728.60,0.00,728.60,reverse_charge,fees_marketplace,archive/finanzen/2026/eingang/AMAZ-2026-2341.pdf,,
L2026-0060,2026-04-16,2026-05-07,expense,invoice,Deutsche Post AG,DEUT-2026-4174,453.07,19.00,539.15,standard,shipping,archive/finanzen/2026/eingang/DEUT-2026-4174.pdf,,
L2026-0061,2026-04-17,2026-05-01,income,invoice,eBay GmbH,SETTL-202604,1458.33,0.00,1458.33,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202604.pdf,,
L2026-0062,2026-04-17,2026-04-17,expense,invoice,Shopify International Ltd.,SHOP-2026-4935,155.44,19.00,184.97,standard,software,archive/finanzen/2026/eingang/SHOP-2026-4935.pdf,,
L2026-0063,2026-04-18,2026-04-18,income,invoice,Shopify Payments (Auszahlung),AUSZ-202604,1952.83,0.00,1952.83,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202604.pdf,,
L2026-0064,2026-04-20,2026-04-27,expense,invoice,DHL Paket GmbH,DHL-2026-8685,392.97,19.00,467.63,standard,shipping,archive/finanzen/2026/eingang/DHL-2026-8685.pdf,,
L2026-0065,2026-04-23,2026-05-02,income,invoice,eBay GmbH,SETTL-202604,1695.57,0.00,1695.57,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202604.pdf,,
L2026-0066,2026-04-23,2026-05-05,income,invoice,Hofladen Wiese,RE-2026-054,661.88,0.00,661.88,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-054.pdf,,
L2026-0067,2026-04-23,2026-04-24,expense,invoice,Nordic Glass ApS,NORD-2026-7833,1355.65,19.00,1613.22,standard,goods,archive/finanzen/2026/eingang/NORD-2026-7833.pdf,,
L2026-0068,2026-04-23,2026-05-23,expense,invoice,Shopify International Ltd.,SHOP-2026-5104,204.15,19.00,242.94,standard,software,archive/finanzen/2026/eingang/SHOP-2026-5104.pdf,,
L2026-0069,2026-04-24,2026-05-24,expense,invoice,Deutsche Post AG,DEUT-2026-6745,95.28,0.00,95.28,exempt,postage,archive/finanzen/2026/eingang/DEUT-2026-6745.pdf,,
L2026-0070,2026-05-01,2026-05-08,expense,invoice,sevDesk GmbH,SEVD-2026-0439,155.32,19.00,184.83,standard,software,archive/finanzen/2026/eingang/SEVD-2026-0439.pdf,,
L2026-0071,2026-05-04,2026-05-18,income,invoice,eBay GmbH,SETTL-202605,1513.25,0.00,1513.25,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202605.pdf,,
L2026-0072,2026-05-04,2026-05-16,income,invoice,Hofladen Wiese,RE-2026-071,642.67,0.00,642.67,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-071.pdf,,
L2026-0073,2026-05-06,2026-05-06,income,invoice,Shopify Payments (Auszahlung),AUSZ-202605,2226.80,0.00,2226.80,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202605.pdf,,
L2026-0074,2026-05-07,2026-05-08,expense,invoice,Hetzner Online GmbH,HETZ-2026-1995,180.04,19.00,214.25,standard,software,archive/finanzen/2026/eingang/HETZ-2026-1995.pdf,,
L2026-0075,2026-05-11,2026-05-14,expense,invoice,Leinenweberei Voss,LEIN-2026-7026,1736.96,19.00,2066.98,standard,goods,archive/finanzen/2026/eingang/LEIN-2026-7026.pdf,,
L2026-0076,2026-05-13,2026-05-20,expense,invoice,Holzwerk Brandt GmbH,HOLZ-2026-3405,1473.37,19.00,1753.31,standard,goods,archive/finanzen/2026/eingang/HOLZ-2026-3405.pdf,,
L2026-0077,2026-05-14,2026-06-13,expense,invoice,DHL Paket GmbH,DHL-2026-7897,419.05,19.00,498.67,standard,shipping,archive/finanzen/2026/eingang/DHL-2026-7897.pdf,,
L2026-0078,2026-05-16,2026-06-15,expense,invoice,Deutsche Post AG,DEUT-2026-4844,289.36,19.00,344.34,standard,shipping,archive/finanzen/2026/eingang/DEUT-2026-4844.pdf,,
L2026-0079,2026-05-17,2026-05-17,income,invoice,PayPal (Auszahlung),AUSZ-202605,1752.06,0.00,1752.06,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202605.pdf,,
L2026-0080,2026-05-19,2026-05-26,income,credit_note,Café Morgenrot,GS-2026-002,84.00,0.00,84.00,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/GS-2026-002.pdf,,"Bruchware, Teilgutschrift zu RE-2026-031"
L2026-0081,2026-05-20,2026-06-22,income,invoice,Hofladen Wiese,RE-2026-070,538.94,0.00,538.94,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-070.pdf,,
L2026-0082,2026-05-20,2026-05-21,expense,invoice,Deutsche Post AG,DEUT-2026-3608,85.72,0.00,85.72,exempt,postage,archive/finanzen/2026/eingang/DEUT-2026-3608.pdf,,
L2026-0083,2026-05-21,2026-05-22,expense,invoice,Karton König e.K.,KART-2026-2225,246.43,19.00,293.25,standard,packaging,archive/finanzen/2026/eingang/KART-2026-2225.pdf,,
L2026-0084,2026-05-22,2026-05-24,income,invoice,Amazon EU S.à r.l.,SETTL-202605,1373.51,0.00,1373.51,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202605.pdf,,
L2026-0085,2026-05-25,2026-06-27,income,invoice,Hofladen Wiese,RE-2026-069,616.02,0.00,616.02,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-069.pdf,,
L2026-0086,2026-05-28,2026-05-31,expense,invoice,eBay GmbH,EBAY-2026-4311,654.42,0.00,654.42,reverse_charge,fees_marketplace,archive/finanzen/2026/eingang/EBAY-2026-4311.pdf,,
L2026-0087,2026-06-04,2026-06-18,expense,invoice,Deutsche Post AG,DEUT-2026-8467,74.08,0.00,74.08,exempt,postage,archive/finanzen/2026/eingang/DEUT-2026-8467.pdf,,
L2026-0088,2026-06-06,2026-06-09,expense,invoice,Nordic Glass ApS,NORD-2026-5633,1919.59,19.00,2284.31,standard,goods,archive/finanzen/2026/eingang/NORD-2026-5633.pdf,,
L2026-0089,2026-06-10,2026-06-10,income,invoice,Amazon EU S.à r.l.,SETTL-202606,1463.09,0.00,1463.09,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202606.pdf,,
L2026-0090,2026-06-11,2026-07-11,expense,invoice,Karton König e.K.,KART-2026-9276,276.95,19.00,329.57,standard,packaging,archive/finanzen/2026/eingang/KART-2026-9276.pdf,,
L2026-0091,2026-06-12,2026-06-21,income,invoice,Amazon EU S.à r.l.,SETTL-202606,1423.45,0.00,1423.45,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202606.pdf,,
L2026-0092,2026-06-14,2026-06-23,income,invoice,Shopify Payments (Auszahlung),AUSZ-202606,2114.70,0.00,2114.70,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202606.pdf,,
L2026-0093,2026-06-14,,income,invoice,Hofladen Wiese,RE-2026-085,924.94,0.00,924.94,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-085.pdf,,
L2026-0094,2026-06-14,,income,invoice,Café Morgenrot,RE-2026-086,870.54,0.00,870.54,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-086.pdf,,
L2026-0095,2026-06-17,2026-06-17,expense,invoice,Amazon EU S.à r.l.,AMAZ-2026-6301,727.16,0.00,727.16,reverse_charge,fees_marketplace,archive/finanzen/2026/eingang/AMAZ-2026-6301.pdf,,
L2026-0096,2026-06-20,2026-06-20,expense,invoice,Shopify International Ltd.,SHOP-2026-9239,170.70,19.00,203.13,standard,software,archive/finanzen/2026/eingang/SHOP-2026-9239.pdf,,
L2026-0097,2026-06-21,2026-06-22,expense,invoice,DHL Paket GmbH,DHL-2026-0550,437.26,19.00,520.34,standard,shipping,archive/finanzen/2026/eingang/DHL-2026-0550.pdf,,
L2026-0098,2026-06-22,2026-07-13,expense,invoice,Shopify International Ltd.,SHOP-2026-2258,170.08,19.00,202.40,standard,software,archive/finanzen/2026/eingang/SHOP-2026-2258.pdf,,
L2026-0099,2026-06-24,2026-07-03,income,invoice,PayPal (Auszahlung),AUSZ-202606,2142.41,0.00,2142.41,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202606.pdf,,
L2026-0100,2026-06-25,2026-06-25,expense,invoice,Holzwerk Brandt GmbH,HOLZ-2026-4073,1627.82,19.00,1937.11,standard,goods,archive/finanzen/2026/eingang/HOLZ-2026-4073.pdf,,
L2026-0101,2026-06-27,2026-06-28,expense,invoice,Deutsche Post AG,DEUT-2026-4652,336.94,19.00,400.96,standard,shipping,archive/finanzen/2026/eingang/DEUT-2026-4652.pdf,,
L2026-0102,2026-07-02,2026-07-09,income,invoice,Café Morgenrot,RE-2026-101,732.76,0.00,732.76,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-101.pdf,,
L2026-0103,2026-07-05,2026-07-12,expense,invoice,Shopify International Ltd.,SHOP-2026-7354,111.84,19.00,133.09,standard,software,archive/finanzen/2026/eingang/SHOP-2026-7354.pdf,,
L2026-0104,2026-07-06,2026-07-08,income,invoice,PayPal (Auszahlung),AUSZ-202607,1777.38,0.00,1777.38,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202607.pdf,,
L2026-0105,2026-07-07,2026-07-19,income,invoice,Buchhandlung Kessler,RE-2026-100,714.29,0.00,714.29,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-100.pdf,,
L2026-0106,2026-07-08,2026-07-08,income,invoice,eBay GmbH,SETTL-202607,1303.68,0.00,1303.68,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202607.pdf,,
L2026-0107,2026-07-09,2026-07-09,expense,invoice,Leinenweberei Voss,LEIN-2026-1430,1235.55,19.00,1470.30,standard,goods,archive/finanzen/2026/eingang/LEIN-2026-1430.pdf,,
L2026-0108,2026-07-12,2026-08-02,expense,invoice,Deutsche Post AG,DEUT-2026-0751,58.23,0.00,58.23,exempt,postage,archive/finanzen/2026/eingang/DEUT-2026-0751.pdf,,
L2026-0109,2026-07-14,2026-07-28,expense,invoice,Holzwerk Brandt GmbH,HOLZ-2026-1094,1580.70,19.00,1881.03,standard,goods,archive/finanzen/2026/eingang/HOLZ-2026-1094.pdf,,
L2026-0110,2026-07-16,2026-07-30,expense,invoice,Deutsche Post AG,DEUT-2026-2075,289.11,19.00,344.04,standard,shipping,archive/finanzen/2026/eingang/DEUT-2026-2075.pdf,,
L2026-0111,2026-07-18,2026-07-25,expense,invoice,Karton König e.K.,KART-2026-3137,197.31,19.00,234.80,standard,packaging,archive/finanzen/2026/eingang/KART-2026-3137.pdf,,
L2026-0112,2026-07-19,2026-08-02,income,invoice,eBay GmbH,SETTL-202607,1085.77,0.00,1085.77,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202607.pdf,,
L2026-0113,2026-07-19,2026-07-22,expense,invoice,DHL Paket GmbH,DHL-2026-4073,394.41,19.00,469.35,standard,shipping,archive/finanzen/2026/eingang/DHL-2026-4073.pdf,,
L2026-0114,2026-07-23,2026-08-06,expense,invoice,Amazon EU S.à r.l.,AMAZ-2026-6094,506.61,0.00,506.61,reverse_charge,fees_marketplace,archive/finanzen/2026/eingang/AMAZ-2026-6094.pdf,,
L2026-0115,2026-07-28,2026-08-06,income,invoice,PayPal (Auszahlung),AUSZ-202607,1840.24,0.00,1840.24,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202607.pdf,,
L2026-0116,2026-07-28,2026-07-31,expense,invoice,sevDesk GmbH,SEVD-2026-8731,144.63,19.00,172.11,standard,software,archive/finanzen/2026/eingang/SEVD-2026-8731.pdf,,
L2026-0117,2026-08-03,2026-08-06,expense,invoice,Leinenweberei Voss,LEIN-2026-4245,1425.09,19.00,1695.86,standard,goods,archive/finanzen/2026/eingang/LEIN-2026-4245.pdf,,
L2026-0118,2026-08-04,2026-08-06,income,invoice,eBay GmbH,SETTL-202608,1679.77,0.00,1679.77,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202608.pdf,,
L2026-0119,2026-08-10,2026-08-19,income,invoice,Shopify Payments (Auszahlung),AUSZ-202608,2218.46,0.00,2218.46,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202608.pdf,,
L2026-0120,2026-08-13,,expense,invoice,Hetzner Online GmbH,HETZ-2026-2127,172.19,19.00,204.91,standard,software,archive/finanzen/2026/eingang/HETZ-2026-2127.pdf,,
L2026-0121,2026-08-14,2026-08-26,income,invoice,Praxis Dr. Lindqvist,RE-2026-116,576.02,0.00,576.02,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-116.pdf,,
L2026-0122,2026-08-14,2026-08-14,expense,invoice,eBay GmbH,EBAY-2026-4608,486.88,0.00,486.88,reverse_charge,fees_marketplace,archive/finanzen/2026/eingang/EBAY-2026-4608.pdf,,
L2026-0123,2026-08-15,2026-08-15,income,invoice,Shopify Payments (Auszahlung),AUSZ-202608,2070.61,0.00,2070.61,kleinunternehmer,sales_shop,archive/finanzen/2026/ausgang/AUSZ-202608.pdf,,
L2026-0124,2026-08-17,,expense,invoice,Leinenweberei Voss,LEIN-2026-2968,1768.88,19.00,2104.97,standard,goods,archive/finanzen/2026/eingang/LEIN-2026-2968.pdf,,
L2026-0125,2026-08-18,,income,invoice,Hofladen Wiese,RE-2026-115,479.97,0.00,479.97,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-115.pdf,,
L2026-0126,2026-08-19,2026-08-24,income,invoice,Amazon EU S.à r.l.,SETTL-202608,1499.22,0.00,1499.22,kleinunternehmer,sales_marketplace,archive/finanzen/2026/ausgang/SETTL-202608.pdf,,
L2026-0127,2026-08-19,2026-08-26,expense,invoice,DHL Paket GmbH,DHL-2026-8031,449.27,19.00,534.63,standard,shipping,archive/finanzen/2026/eingang/DHL-2026-8031.pdf,,
L2026-0128,2026-08-22,,expense,invoice,Karton König e.K.,KART-2026-4452,309.44,19.00,368.23,standard,packaging,archive/finanzen/2026/eingang/KART-2026-4452.pdf,,
L2026-0129,2026-08-23,,expense,invoice,Deutsche Post AG,DEUT-2026-8205,96.56,0.00,96.56,exempt,postage,archive/finanzen/2026/eingang/DEUT-2026-8205.pdf,,
L2026-0130,2026-08-26,2026-08-26,expense,invoice,DHL Paket GmbH,DHL-2026-8722,286.41,19.00,340.83,standard,shipping,archive/finanzen/2026/eingang/DHL-2026-8722.pdf,,
L2026-0131,2026-08-26,2026-08-29,expense,invoice,Shopify International Ltd.,SHOP-2026-6275,192.45,19.00,229.02,standard,software,archive/finanzen/2026/eingang/SHOP-2026-6275.pdf,,
L2026-0132,2026-08-28,,income,invoice,Buchhandlung Kessler,RE-2026-117,600.61,0.00,600.61,kleinunternehmer,sales_local,archive/finanzen/2026/ausgang/RE-2026-117.pdf,,
L2026-0133,2026-07-02,2026-07-02,expense,reversal,Ratioform GmbH,,229.43,19.00,273.02,standard,packaging,archive/finanzen/2026/eingang/storno-L2026-0018.txt,L2026-0018,Doppelt gebucht
L2026-0134,2026-08-28,,expense,invoice,Holzwerk Brandt GmbH,HB-2026-7781,214.20,19.00,14.28,standard,goods,archive/finanzen/2026/eingang/HB-2026-7781.pdf,,
