id,doc_date,payment_date,direction,doc_type,counterparty,invoice_no,net,vat_rate,gross,vat_treatment,category,source,reverses,note
L2025-0026,2025-02-18,2025-02-20,income,invoice,eBay GmbH,SETTL-202502,214.12,0.00,214.12,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202502.pdf,,
L2025-0027,2025-02-20,2025-03-12,income,invoice,Hofladen Wiese,RE-2025-022,64.60,0.00,64.60,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-022.pdf,,
L2025-0028,2025-02-20,2025-02-20,expense,invoice,Deutsche Post AG,DEUT-2025-5953,9.56,0.00,9.56,exempt,postage,archive/finanzen/2025/eingang/DEUT-2025-5953.pdf,,
L2025-0029,2025-02-21,2025-03-26,income,invoice,Hofladen Wiese,RE-2025-020,76.57,0.00,76.57,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-020.pdf,,
L2025-0030,2025-02-26,2025-02-26,expense,invoice,Deutsche Post AG,DEUT-2025-8540,49.42,19.00,58.81,standard,shipping,archive/finanzen/2025/eingang/DEUT-2025-8540.pdf,,
L2025-0031,2025-02-27,2025-03-06,expense,invoice,Holzwerk Brandt GmbH,HOLZ-2025-9239,215.54,19.00,256.49,standard,goods,archive/finanzen/2025/eingang/HOLZ-2025-9239.pdf,,
L2025-0032,2025-03-02,2025-03-03,expense,invoice,Amazon EU S.à r.l.,AMAZ-2025-0841,92.71,0.00,92.71,reverse_charge,fees_marketplace,archive/finanzen/2025/eingang/AMAZ-2025-0841.pdf,,
L2025-0033,2025-03-04,2025-03-11,income,invoice,Café Morgenrot,RE-2025-037,69.17,0.00,69.17,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-037.pdf,,
L2025-0034,2025-03-04,2025-03-11,expense,invoice,Holzwerk Brandt GmbH,HOLZ-2025-9465,219.14,19.00,260.78,standard,goods,archive/finanzen/2025/eingang/HOLZ-2025-9465.pdf,,
L2025-0035,2025-03-05,2025-03-14,income,invoice,Shopify Payments (Auszahlung),AUSZ-202503,311.75,0.00,311.75,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202503.pdf,,
L2025-0036,2025-03-05,2025-03-14,income,invoice,eBay GmbH,SETTL-202503,222.93,0.00,222.93,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202503.pdf,,
L2025-0037,2025-03-06,2025-03-07,expense,invoice,DHL Paket GmbH,DHL-2025-7204,62.08,19.00,73.88,standard,shipping,archive/finanzen/2025/eingang/DHL-2025-7204.pdf,,
L2025-0038,2025-03-11,2025-03-25,income,invoice,PayPal (Auszahlung),AUSZ-202503,249.74,0.00,249.74,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202503.pdf,,
L2025-0039,2025-03-11,2025-04-01,expense,invoice,Holzwerk Brandt GmbH,HOLZ-2025-7475,246.21,19.00,292.99,standard,goods,archive/finanzen/2025/eingang/HOLZ-2025-7475.pdf,,
L2025-0040,2025-03-13,2025-04-15,income,invoice,Buchhandlung Kessler,RE-2025-036,86.12,0.00,86.12,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-036.pdf,,
L2025-0041,2025-03-14,2025-03-28,expense,invoice,Deutsche Post AG,DEUT-2025-1388,12.03,0.00,12.03,exempt,postage,archive/finanzen/2025/eingang/DEUT-2025-1388.pdf,,
L2025-0042,2025-03-15,2025-03-29,expense,invoice,DHL Paket GmbH,DHL-2025-1238,62.24,19.00,74.07,standard,shipping,archive/finanzen/2025/eingang/DHL-2025-1238.pdf,,
L2025-0043,2025-03-15,2025-03-25,expense,invoice,Steuerkanzlei Behrens & Ude,STB-2025-03,380.00,19.00,452.20,standard,advisory,archive/finanzen/2025/eingang/STB-2025-03.pdf,,Jahresabschluss-Vorbereitung
L2025-0044,2025-03-17,2025-03-18,expense,invoice,Ratioform GmbH,RATI-2025-3147,32.11,19.00,38.21,standard,packaging,archive/finanzen/2025/eingang/RATI-2025-3147.pdf,,
L2025-0045,2025-03-21,2025-03-28,income,invoice,Café Morgenrot,RE-2025-038,97.32,0.00,97.32,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-038.pdf,,
L2025-0046,2025-03-22,2025-03-22,income,invoice,Amazon EU S.à r.l.,SETTL-202503,187.90,0.00,187.90,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202503.pdf,,
L2025-0047,2025-03-22,2025-03-22,expense,invoice,Shopify International Ltd.,SHOP-2025-8782,25.51,19.00,30.36,standard,software,archive/finanzen/2025/eingang/SHOP-2025-8782.pdf,,
L2025-0048,2025-03-27,2025-03-27,expense,invoice,Hetzner Online GmbH,HETZ-2025-3188,28.05,19.00,33.38,standard,software,archive/finanzen/2025/eingang/HETZ-2025-3188.pdf,,
L2025-0049,2025-04-03,2025-04-06,expense,invoice,Karton König e.K.,KART-2025-2744,45.76,19.00,54.45,standard,packaging,archive/finanzen/2025/eingang/KART-2025-2744.pdf,,
L2025-0050,2025-04-03,2025-04-03,expense,invoice,Deutsche Post AG,DEUT-2025-4311,12.41,0.00,12.41,exempt,postage,archive/finanzen/2025/eingang/DEUT-2025-4311.pdf,,
L2025-0051,2025-04-04,2025-04-11,expense,invoice,Amazon EU S.à r.l.,AMAZ-2025-1837,118.55,0.00,118.55,reverse_charge,fees_marketplace,archive/finanzen/2025/eingang/AMAZ-2025-1837.pdf,,
L2025-0052,2025-04-04,2025-04-18,expense,invoice,Hetzner Online GmbH,HETZ-2025-4634,31.51,19.00,37.50,standard,software,archive/finanzen/2025/eingang/HETZ-2025-4634.pdf,,
L2025-0053,2025-04-06,2025-04-08,income,invoice,Shopify Payments (Auszahlung),AUSZ-202504,310.74,0.00,310.74,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202504.pdf,,
L2025-0054,2025-04-06,2025-04-09,expense,invoice,Leinenweberei Voss,LEIN-2025-9477,250.82,19.00,298.48,standard,goods,archive/finanzen/2025/eingang/LEIN-2025-9477.pdf,,
L2025-0055,2025-04-07,2025-04-07,expense,invoice,Leinenweberei Voss,LEIN-2025-4695,323.46,19.00,384.92,standard,goods,archive/finanzen/2025/eingang/LEIN-2025-4695.pdf,,
L2025-0056,2025-04-08,2025-05-11,income,invoice,Café Morgenrot,RE-2025-053,165.04,0.00,165.04,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-053.pdf,,
L2025-0057,2025-04-09,2025-04-30,expense,invoice,DHL Paket GmbH,DHL-2025-1762,57.16,19.00,68.02,standard,shipping,archive/finanzen/2025/eingang/DHL-2025-1762.pdf,,
L2025-0058,2025-04-11,2025-04-20,income,invoice,eBay GmbH,SETTL-202504,250.26,0.00,250.26,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202504.pdf,,
L2025-0059,2025-04-14,2025-04-21,income,invoice,Buchhandlung Kessler,RE-2025-054,153.32,0.00,153.32,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-054.pdf,,
L2025-0060,2025-04-16,2025-04-21,income,invoice,PayPal (Auszahlung),AUSZ-202504,295.13,0.00,295.13,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202504.pdf,,
L2025-0061,2025-04-17,2025-04-26,income,invoice,eBay GmbH,SETTL-202504,247.92,0.00,247.92,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202504.pdf,,
L2025-0062,2025-04-19,2025-05-10,expense,invoice,DHL Paket GmbH,DHL-2025-9436,67.38,19.00,80.18,standard,shipping,archive/finanzen/2025/eingang/DHL-2025-9436.pdf,,
L2025-0063,2025-04-25,2025-04-28,expense,invoice,sevDesk GmbH,SEVD-2025-3139,32.18,19.00,38.29,standard,software,archive/finanzen/2025/eingang/SEVD-2025-3139.pdf,,
L2025-0064,2025-05-01,2025-05-01,income,invoice,Shopify Payments (Auszahlung),AUSZ-202505,349.81,0.00,349.81,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202505.pdf,,
L2025-0065,2025-05-04,2025-06-21,income,invoice,Praxis Dr. Lindqvist,RE-2025-069,127.88,0.00,127.88,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-069.pdf,,
L2025-0066,2025-05-04,2025-05-04,expense,invoice,Amazon EU S.à r.l.,AMAZ-2025-2159,89.84,0.00,89.84,reverse_charge,fees_marketplace,archive/finanzen/2025/eingang/AMAZ-2025-2159.pdf,,
L2025-0067,2025-05-06,2025-05-20,expense,invoice,Deutsche Post AG,DEUT-2025-8969,18.75,0.00,18.75,exempt,postage,archive/finanzen/2025/eingang/DEUT-2025-8969.pdf,,
L2025-0068,2025-05-07,2025-06-09,income,invoice,Hofladen Wiese,RE-2025-068,99.42,0.00,99.42,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-068.pdf,,
L2025-0069,2025-05-07,2025-05-21,expense,invoice,DHL Paket GmbH,DHL-2025-1944,92.29,19.00,109.83,standard,shipping,archive/finanzen/2025/eingang/DHL-2025-1944.pdf,,
L2025-0070,2025-05-08,2025-06-07,expense,invoice,Karton König e.K.,KART-2025-3697,44.93,19.00,53.47,standard,packaging,archive/finanzen/2025/eingang/KART-2025-3697.pdf,,
L2025-0071,2025-05-09,2025-05-29,income,invoice,Praxis Dr. Lindqvist,RE-2025-070,115.10,0.00,115.10,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-070.pdf,,
L2025-0072,2025-05-10,2025-05-10,income,invoice,Shopify Payments (Auszahlung),AUSZ-202505,323.84,0.00,323.84,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202505.pdf,,
L2025-0073,2025-05-10,2025-05-31,expense,invoice,Nordic Glass ApS,NORD-2025-4965,341.69,19.00,406.61,standard,goods,archive/finanzen/2025/eingang/NORD-2025-4965.pdf,,
L2025-0074,2025-05-11,2025-05-25,expense,invoice,DHL Paket GmbH,DHL-2025-8982,84.08,19.00,100.06,standard,shipping,archive/finanzen/2025/eingang/DHL-2025-8982.pdf,,
L2025-0075,2025-05-19,2025-05-21,income,invoice,eBay GmbH,SETTL-202505,302.65,0.00,302.65,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202505.pdf,,
L2025-0076,2025-05-19,2025-05-20,expense,invoice,Hetzner Online GmbH,HETZ-2025-6904,23.09,19.00,27.48,standard,software,archive/finanzen/2025/eingang/HETZ-2025-6904.pdf,,
L2025-0077,2025-05-20,2025-06-03,income,invoice,Amazon EU S.à r.l.,SETTL-202505,313.23,0.00,313.23,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202505.pdf,,
L2025-0078,2025-05-20,2025-06-10,expense,invoice,sevDesk GmbH,SEVD-2025-5051,32.63,19.00,38.83,standard,software,archive/finanzen/2025/eingang/SEVD-2025-5051.pdf,,
L2025-0079,2025-05-23,2025-05-30,expense,invoice,Nordic Glass ApS,NORD-2025-4710,224.67,19.00,267.36,standard,goods,archive/finanzen/2025/eingang/NORD-2025-4710.pdf,,
L2025-0080,2025-06-01,2025-06-03,income,invoice,PayPal (Auszahlung),AUSZ-202506,290.54,0.00,290.54,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202506.pdf,,
L2025-0081,2025-06-01,2025-07-04,income,invoice,Buchhandlung Kessler,RE-2025-085,102.68,0.00,102.68,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-085.pdf,,
L2025-0082,2025-06-01,2025-06-04,expense,invoice,eBay GmbH,EBAY-2025-0714,100.49,0.00,100.49,reverse_charge,fees_marketplace,archive/finanzen/2025/eingang/EBAY-2025-0714.pdf,,
L2025-0083,2025-06-01,2025-06-15,expense,invoice,Ratioform GmbH,RATI-2025-9641,56.47,19.00,67.20,standard,packaging,archive/finanzen/2025/eingang/RATI-2025-9641.pdf,,
L2025-0084,2025-06-02,2025-06-09,expense,invoice,Deutsche Post AG,DEUT-2025-8930,12.81,0.00,12.81,exempt,postage,archive/finanzen/2025/eingang/DEUT-2025-8930.pdf,,
L2025-0085,2025-06-03,2025-06-06,expense,invoice,Hetzner Online GmbH,HETZ-2025-9057,31.39,19.00,37.35,standard,software,archive/finanzen/2025/eingang/HETZ-2025-9057.pdf,,
L2025-0086,2025-06-05,2025-06-26,expense,invoice,sevDesk GmbH,SEVD-2025-1750,32.99,19.00,39.26,standard,software,archive/finanzen/2025/eingang/SEVD-2025-1750.pdf,,
L2025-0087,2025-06-06,2025-06-27,expense,invoice,Deutsche Post AG,DEUT-2025-2619,57.85,19.00,68.84,standard,shipping,archive/finanzen/2025/eingang/DEUT-2025-2619.pdf,,
L2025-0088,2025-06-08,2025-07-11,income,invoice,Buchhandlung Kessler,RE-2025-086,79.52,0.00,79.52,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-086.pdf,,
L2025-0089,2025-06-11,2025-06-11,income,invoice,Amazon EU S.à r.l.,SETTL-202506,245.21,0.00,245.21,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202506.pdf,,
L2025-0090,2025-06-11,2025-07-11,expense,invoice,Nordic Glass ApS,NORD-2025-6239,329.61,19.00,392.24,standard,goods,archive/finanzen/2025/eingang/NORD-2025-6239.pdf,,
L2025-0091,2025-06-12,2025-07-12,expense,invoice,Nordic Glass ApS,NORD-2025-9301,309.50,19.00,368.31,standard,goods,archive/finanzen/2025/eingang/NORD-2025-9301.pdf,,
L2025-0092,2025-06-13,2025-06-15,income,invoice,Shopify Payments (Auszahlung),AUSZ-202506,349.94,0.00,349.94,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202506.pdf,,
L2025-0093,2025-06-18,2025-06-18,income,invoice,eBay GmbH,SETTL-202506,287.97,0.00,287.97,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202506.pdf,,
L2025-0094,2025-06-21,2025-06-28,expense,invoice,Deutsche Post AG,DEUT-2025-9612,59.68,19.00,71.02,standard,shipping,archive/finanzen/2025/eingang/DEUT-2025-9612.pdf,,
L2025-0095,2025-06-25,2025-07-02,income,invoice,Praxis Dr. Lindqvist,RE-2025-084,101.72,0.00,101.72,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-084.pdf,,
L2025-0096,2025-07-01,2025-07-02,expense,invoice,Holzwerk Brandt GmbH,HOLZ-2025-8932,277.27,19.00,329.95,standard,goods,archive/finanzen/2025/eingang/HOLZ-2025-8932.pdf,,
L2025-0097,2025-07-01,2025-07-01,expense,invoice,DHL Paket GmbH,DHL-2025-6236,45.60,19.00,54.26,standard,shipping,archive/finanzen/2025/eingang/DHL-2025-6236.pdf,,
L2025-0098,2025-07-04,2025-07-04,income,invoice,Shopify Payments (Auszahlung),AUSZ-202507,343.67,0.00,343.67,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202507.pdf,,
L2025-0099,2025-07-05,2025-07-05,expense,invoice,eBay GmbH,EBAY-2025-8039,96.10,0.00,96.10,reverse_charge,fees_marketplace,archive/finanzen/2025/eingang/EBAY-2025-8039.pdf,,
L2025-0100,2025-07-10,2025-07-30,income,invoice,Praxis Dr. Lindqvist,RE-2025-100,149.33,0.00,149.33,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-100.pdf,,
L2025-0101,2025-07-10,2025-07-11,expense,invoice,DHL Paket GmbH,DHL-2025-9922,42.78,19.00,50.91,standard,shipping,archive/finanzen/2025/eingang/DHL-2025-9922.pdf,,
L2025-0102,2025-07-10,2025-07-31,expense,invoice,Shopify International Ltd.,SHOP-2025-5798,22.09,19.00,26.29,standard,software,archive/finanzen/2025/eingang/SHOP-2025-5798.pdf,,
L2025-0103,2025-07-11,2025-07-20,income,invoice,eBay GmbH,SETTL-202507,246.33,0.00,246.33,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202507.pdf,,
L2025-0104,2025-07-13,2025-08-30,income,invoice,Café Morgenrot,RE-2025-101,109.93,0.00,109.93,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-101.pdf,,
L2025-0105,2025-07-14,2025-07-17,expense,invoice,Leinenweberei Voss,LEIN-2025-2899,266.38,19.00,316.99,standard,goods,archive/finanzen/2025/eingang/LEIN-2025-2899.pdf,,
L2025-0106,2025-07-15,2025-07-29,expense,invoice,Deutsche Post AG,DEUT-2025-1452,14.30,0.00,14.30,exempt,postage,archive/finanzen/2025/eingang/DEUT-2025-1452.pdf,,
L2025-0107,2025-07-16,2025-07-16,expense,invoice,Ratioform GmbH,RATI-2025-5976,38.04,19.00,45.27,standard,packaging,archive/finanzen/2025/eingang/RATI-2025-5976.pdf,,
L2025-0108,2025-07-17,2025-07-31,income,invoice,Shopify Payments (Auszahlung),AUSZ-202507,343.44,0.00,343.44,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202507.pdf,,
L2025-0109,2025-07-24,2025-08-02,income,invoice,Amazon EU S.à r.l.,SETTL-202507,208.28,0.00,208.28,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202507.pdf,,
L2025-0110,2025-07-27,2025-08-17,expense,invoice,Shopify International Ltd.,SHOP-2025-6345,19.69,19.00,23.43,standard,software,archive/finanzen/2025/eingang/SHOP-2025-6345.pdf,,
L2025-0111,2025-08-03,2025-08-08,income,invoice,PayPal (Auszahlung),AUSZ-202508,269.78,0.00,269.78,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202508.pdf,,
L2025-0112,2025-08-07,2025-08-27,income,invoice,Buchhandlung Kessler,RE-2025-115,89.39,0.00,89.39,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-115.pdf,,
L2025-0113,2025-08-08,2025-08-11,expense,invoice,DHL Paket GmbH,DHL-2025-9296,70.16,19.00,83.49,standard,shipping,archive/finanzen/2025/eingang/DHL-2025-9296.pdf,,
L2025-0114,2025-08-09,2025-08-12,expense,invoice,Deutsche Post AG,DEUT-2025-6673,75.85,19.00,90.26,standard,shipping,archive/finanzen/2025/eingang/DEUT-2025-6673.pdf,,
L2025-0115,2025-08-12,2025-08-24,income,invoice,Hofladen Wiese,RE-2025-116,106.58,0.00,106.58,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-116.pdf,,
L2025-0116,2025-08-13,2025-09-03,expense,invoice,Ratioform GmbH,RATI-2025-0272,31.99,19.00,38.07,standard,packaging,archive/finanzen/2025/eingang/RATI-2025-0272.pdf,,
L2025-0117,2025-08-14,2025-08-17,expense,invoice,sevDesk GmbH,SEVD-2025-5514,29.27,19.00,34.83,standard,software,archive/finanzen/2025/eingang/SEVD-2025-5514.pdf,,
L2025-0118,2025-08-15,2025-08-18,expense,invoice,Nordic Glass ApS,NORD-2025-9031,331.62,19.00,394.63,standard,goods,archive/finanzen/2025/eingang/NORD-2025-9031.pdf,,
L2025-0119,2025-08-17,2025-08-26,income,invoice,eBay GmbH,SETTL-202508,235.79,0.00,235.79,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202508.pdf,,
L2025-0120,2025-08-18,2025-09-08,expense,invoice,eBay GmbH,EBAY-2025-6811,95.30,0.00,95.30,reverse_charge,fees_marketplace,archive/finanzen/2025/eingang/EBAY-2025-6811.pdf,,
L2025-0121,2025-08-22,2025-08-22,income,invoice,Shopify Payments (Auszahlung),AUSZ-202508,295.37,0.00,295.37,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202508.pdf,,
L2025-0122,2025-08-22,2025-09-21,expense,invoice,Hetzner Online GmbH,HETZ-2025-9052,26.14,19.00,31.11,standard,software,archive/finanzen/2025/eingang/HETZ-2025-9052.pdf,,
L2025-0123,2025-08-23,2025-08-26,expense,invoice,Deutsche Post AG,DEUT-2025-5572,12.46,0.00,12.46,exempt,postage,archive/finanzen/2025/eingang/DEUT-2025-5572.pdf,,
L2025-0124,2025-08-24,2025-09-07,income,invoice,eBay GmbH,SETTL-202508,235.56,0.00,235.56,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202508.pdf,,
L2025-0125,2025-08-24,2025-09-26,income,invoice,Buchhandlung Kessler,RE-2025-117,83.23,0.00,83.23,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-117.pdf,,
L2025-0126,2025-08-27,2025-08-27,expense,invoice,Holzwerk Brandt GmbH,HOLZ-2025-4465,236.89,19.00,281.90,standard,goods,archive/finanzen/2025/eingang/HOLZ-2025-4465.pdf,,
L2025-0127,2025-09-03,2025-09-17,expense,invoice,Holzwerk Brandt GmbH,HOLZ-2025-8649,343.57,19.00,408.85,standard,goods,archive/finanzen/2025/eingang/HOLZ-2025-8649.pdf,,
L2025-0128,2025-09-07,2025-09-14,income,invoice,Café Morgenrot,RE-2025-132,164.57,0.00,164.57,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-132.pdf,,
L2025-0129,2025-09-08,2025-09-22,income,invoice,Amazon EU S.à r.l.,SETTL-202509,229.59,0.00,229.59,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202509.pdf,,
L2025-0130,2025-09-08,2025-09-15,expense,invoice,Nordic Glass ApS,NORD-2025-2898,242.69,19.00,288.80,standard,goods,archive/finanzen/2025/eingang/NORD-2025-2898.pdf,,
L2025-0131,2025-09-08,2025-09-15,expense,invoice,eBay GmbH,EBAY-2025-5728,128.52,0.00,128.52,reverse_charge,fees_marketplace,archive/finanzen/2025/eingang/EBAY-2025-5728.pdf,,
L2025-0132,2025-09-09,2025-09-11,income,invoice,Amazon EU S.à r.l.,SETTL-202509,299.81,0.00,299.81,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202509.pdf,,
L2025-0133,2025-09-14,2025-09-14,expense,invoice,DHL Paket GmbH,DHL-2025-9115,62.48,19.00,74.35,standard,shipping,archive/finanzen/2025/eingang/DHL-2025-9115.pdf,,
L2025-0134,2025-09-15,2025-09-16,expense,invoice,Deutsche Post AG,DEUT-2025-4583,19.35,0.00,19.35,exempt,postage,archive/finanzen/2025/eingang/DEUT-2025-4583.pdf,,
L2025-0135,2025-09-15,2025-09-25,expense,invoice,Steuerkanzlei Behrens & Ude,STB-2025-09,380.00,19.00,452.20,standard,advisory,archive/finanzen/2025/eingang/STB-2025-09.pdf,,
