id,doc_date,payment_date,direction,doc_type,counterparty,invoice_no,net,vat_rate,gross,vat_treatment,category,source,reverses,note
L2025-0011,2025-01-19,2025-02-09,expense,invoice,Ratioform GmbH,RATI-2025-8913,36.00,19.00,42.84,standard,packaging,archive/finanzen/2025/eingang/RATI-2025-8913.pdf,,
L2025-0012,2025-01-20,2025-02-03,expense,invoice,sevDesk GmbH,SEVD-2025-8337,36.86,19.00,43.86,standard,software,archive/finanzen/2025/eingang/SEVD-2025-8337.pdf,,
L2025-0013,2025-01-21,2025-01-21,expense,invoice,Deutsche Post AG,DEUT-2025-5620,11.18,0.00,11.18,exempt,postage,archive/finanzen/2025/eingang/DEUT-2025-5620.pdf,,
L2025-0014,2025-01-22,2025-01-31,income,invoice,Amazon EU S.à r.l.,SETTL-202501,248.51,0.00,248.51,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202501.pdf,,
L2025-0015,2025-01-25,2025-02-01,expense,invoice,Deutsche Post AG,DEUT-2025-9406,90.60,19.00,107.81,standard,shipping,archive/finanzen/2025/eingang/DEUT-2025-9406.pdf,,
L2025-0016,2025-01-26,2025-01-31,income,invoice,Shopify Payments (Auszahlung),AUSZ-202501,372.63,0.00,372.63,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202501.pdf,,
L2025-0017,2025-02-05,2025-02-05,income,invoice,Shopify Payments (Auszahlung),AUSZ-202502,344.25,0.00,344.25,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202502.pdf,,
L2025-0018,2025-02-09,2025-03-14,income,invoice,Café Morgenrot,RE-2025-021,180.97,0.00,180.97,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-021.pdf,,
L2025-0019,2025-02-09,2025-02-21,income,invoice,Buchhandlung Kessler,RE-2025-022,168.42,0.00,168.42,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-022.pdf,,
L2025-0020,2025-02-10,2025-02-17,expense,invoice,Holzwerk Brandt GmbH,HOLZ-2025-2385,346.80,19.00,412.69,standard,goods,archive/finanzen/2025/eingang/HOLZ-2025-2385.pdf,,
L2025-0021,2025-02-14,2025-02-17,expense,invoice,Deutsche Post AG,DEUT-2025-4060,79.03,19.00,94.05,standard,shipping,archive/finanzen/2025/eingang/DEUT-2025-4060.pdf,,
L2025-0022,2025-02-15,2025-03-08,expense,invoice,DHL Paket GmbH,DHL-2025-4227,77.23,19.00,91.90,standard,shipping,archive/finanzen/2025/eingang/DHL-2025-4227.pdf,,
L2025-0023,2025-02-17,2025-02-24,expense,invoice,Amazon EU S.à r.l.,AMAZ-2025-3334,137.44,0.00,137.44,reverse_charge,fees_marketplace,archive/finanzen/2025/eingang/AMAZ-2025-3334.pdf,,
L2025-0024,2025-02-19,2025-02-22,expense,invoice,Shopify International Ltd.,SHOP-2025-4322,24.65,19.00,29.33,standard,software,archive/finanzen/2025/eingang/SHOP-2025-4322.pdf,,
L2025-0025,2025-02-19,2025-02-20,expense,invoice,Karton König e.K.,KART-2025-4275,42.80,19.00,50.93,standard,packaging,archive/finanzen/2025/eingang/KART-2025-4275.pdf,,
L2025-0026,2025-02-21,2025-02-23,income,invoice,PayPal (Auszahlung),AUSZ-202502,368.85,0.00,368.85,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202502.pdf,,
L2025-0027,2025-02-21,2025-03-23,expense,invoice,Hetzner Online GmbH,HETZ-2025-2910,30.53,19.00,36.33,standard,software,archive/finanzen/2025/eingang/HETZ-2025-2910.pdf,,
L2025-0028,2025-02-22,2025-03-15,expense,invoice,Nordic Glass ApS,NORD-2025-1683,271.65,19.00,323.26,standard,goods,archive/finanzen/2025/eingang/NORD-2025-1683.pdf,,
L2025-0029,2025-02-27,2025-03-04,income,invoice,eBay GmbH,SETTL-202502,273.05,0.00,273.05,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202502.pdf,,
L2025-0030,2025-02-27,2025-03-04,income,invoice,eBay GmbH,SETTL-202502,240.73,0.00,240.73,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202502.pdf,,
L2025-0031,2025-02-27,2025-03-02,expense,invoice,Deutsche Post AG,DEUT-2025-1778,17.33,0.00,17.33,exempt,postage,archive/finanzen/2025/eingang/DEUT-2025-1778.pdf,,
L2025-0032,2025-03-02,2025-03-16,income,invoice,Shopify Payments (Auszahlung),AUSZ-202503,323.22,0.00,323.22,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202503.pdf,,
L2025-0033,2025-03-02,2025-04-01,expense,invoice,Karton König e.K.,KART-2025-2431,57.94,19.00,68.95,standard,packaging,archive/finanzen/2025/eingang/KART-2025-2431.pdf,,
L2025-0034,2025-03-03,2025-03-10,expense,invoice,Shopify International Ltd.,SHOP-2025-8334,27.70,19.00,32.96,standard,software,archive/finanzen/2025/eingang/SHOP-2025-8334.pdf,,
L2025-0035,2025-03-08,2025-03-08,expense,invoice,eBay GmbH,EBAY-2025-3254,101.65,0.00,101.65,reverse_charge,fees_marketplace,archive/finanzen/2025/eingang/EBAY-2025-3254.pdf,,
L2025-0036,2025-03-09,2025-03-14,income,invoice,Shopify Payments (Auszahlung),AUSZ-202503,337.23,0.00,337.23,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202503.pdf,,
L2025-0037,2025-03-10,2025-03-10,expense,invoice,DHL Paket GmbH,DHL-2025-7734,64.50,19.00,76.75,standard,shipping,archive/finanzen/2025/eingang/DHL-2025-7734.pdf,,
L2025-0038,2025-03-13,2025-03-25,income,invoice,Praxis Dr. Lindqvist,RE-2025-037,200.90,0.00,200.90,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-037.pdf,,
L2025-0039,2025-03-13,2025-04-03,expense,invoice,Nordic Glass ApS,NORD-2025-0868,411.07,19.00,489.17,standard,goods,archive/finanzen/2025/eingang/NORD-2025-0868.pdf,,
L2025-0040,2025-03-15,2025-03-25,expense,invoice,Steuerkanzlei Behrens & Ude,STB-2025-03,380.00,19.00,452.20,standard,advisory,archive/finanzen/2025/eingang/STB-2025-03.pdf,,Jahresabschluss-Vorbereitung
L2025-0041,2025-03-16,2025-03-30,expense,invoice,Shopify International Ltd.,SHOP-2025-8623,27.11,19.00,32.26,standard,software,archive/finanzen/2025/eingang/SHOP-2025-8623.pdf,,
L2025-0042,2025-03-16,2025-03-17,expense,invoice,Deutsche Post AG,DEUT-2025-3570,14.30,0.00,14.30,exempt,postage,archive/finanzen/2025/eingang/DEUT-2025-3570.pdf,,
L2025-0043,2025-03-18,2025-03-25,income,invoice,Praxis Dr. Lindqvist,RE-2025-036,189.30,0.00,189.30,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-036.pdf,,
L2025-0044,2025-03-19,2025-03-26,expense,invoice,Deutsche Post AG,DEUT-2025-3365,64.88,19.00,77.21,standard,shipping,archive/finanzen/2025/eingang/DEUT-2025-3365.pdf,,
L2025-0045,2025-03-20,2025-03-21,expense,invoice,Leinenweberei Voss,LEIN-2025-5542,266.67,19.00,317.34,standard,goods,archive/finanzen/2025/eingang/LEIN-2025-5542.pdf,,
L2025-0046,2025-03-22,2025-03-31,income,invoice,Amazon EU S.à r.l.,SETTL-202503,251.07,0.00,251.07,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202503.pdf,,
L2025-0047,2025-03-28,2025-03-30,income,invoice,eBay GmbH,SETTL-202503,288.20,0.00,288.20,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202503.pdf,,
L2025-0048,2025-04-02,2025-05-20,income,invoice,Buchhandlung Kessler,RE-2025-054,111.32,0.00,111.32,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-054.pdf,,
L2025-0049,2025-04-03,2025-04-03,income,invoice,Shopify Payments (Auszahlung),AUSZ-202504,524.40,0.00,524.40,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202504.pdf,,
L2025-0050,2025-04-03,2025-04-06,expense,invoice,Hetzner Online GmbH,HETZ-2025-7618,36.91,19.00,43.92,standard,software,archive/finanzen/2025/eingang/HETZ-2025-7618.pdf,,
L2025-0051,2025-04-05,2025-04-26,expense,invoice,Leinenweberei Voss,LEIN-2025-0414,297.56,19.00,354.10,standard,goods,archive/finanzen/2025/eingang/LEIN-2025-0414.pdf,,
L2025-0052,2025-04-05,2025-04-08,expense,invoice,Deutsche Post AG,DEUT-2025-3068,106.33,19.00,126.53,standard,shipping,archive/finanzen/2025/eingang/DEUT-2025-3068.pdf,,
L2025-0053,2025-04-12,2025-05-03,expense,invoice,Amazon EU S.à r.l.,AMAZ-2025-5358,152.33,0.00,152.33,reverse_charge,fees_marketplace,archive/finanzen/2025/eingang/AMAZ-2025-5358.pdf,,
L2025-0054,2025-04-14,2025-05-05,expense,invoice,Holzwerk Brandt GmbH,HOLZ-2025-4927,327.93,19.00,390.24,standard,goods,archive/finanzen/2025/eingang/HOLZ-2025-4927.pdf,,
L2025-0055,2025-04-15,2025-04-15,income,invoice,Amazon EU S.à r.l.,SETTL-202504,360.29,0.00,360.29,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202504.pdf,,
L2025-0056,2025-04-15,2025-04-15,expense,invoice,Karton König e.K.,KART-2025-2809,58.67,19.00,69.82,standard,packaging,archive/finanzen/2025/eingang/KART-2025-2809.pdf,,
L2025-0057,2025-04-17,2025-04-18,expense,invoice,Deutsche Post AG,DEUT-2025-6855,18.96,0.00,18.96,exempt,postage,archive/finanzen/2025/eingang/DEUT-2025-6855.pdf,,
L2025-0058,2025-04-19,2025-05-03,income,invoice,PayPal (Auszahlung),AUSZ-202504,488.62,0.00,488.62,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202504.pdf,,
L2025-0059,2025-04-19,2025-04-28,income,invoice,eBay GmbH,SETTL-202504,334.95,0.00,334.95,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202504.pdf,,
L2025-0060,2025-04-19,2025-05-09,income,invoice,Buchhandlung Kessler,RE-2025-053,141.24,0.00,141.24,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-053.pdf,,
L2025-0061,2025-04-24,2025-04-25,expense,invoice,Hetzner Online GmbH,HETZ-2025-7486,43.54,19.00,51.81,standard,software,archive/finanzen/2025/eingang/HETZ-2025-7486.pdf,,
L2025-0062,2025-04-25,2025-05-28,income,invoice,Buchhandlung Kessler,RE-2025-052,147.29,0.00,147.29,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-052.pdf,,
L2025-0063,2025-04-28,2025-04-29,expense,invoice,DHL Paket GmbH,DHL-2025-8758,66.27,19.00,78.86,standard,shipping,archive/finanzen/2025/eingang/DHL-2025-8758.pdf,,
L2025-0064,2025-05-01,2025-05-21,income,invoice,Buchhandlung Kessler,RE-2025-068,176.07,0.00,176.07,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-068.pdf,,
L2025-0065,2025-05-02,2025-05-03,expense,invoice,Holzwerk Brandt GmbH,HOLZ-2025-5902,476.56,19.00,567.11,standard,goods,archive/finanzen/2025/eingang/HOLZ-2025-5902.pdf,,
L2025-0066,2025-05-03,2025-05-06,expense,invoice,DHL Paket GmbH,DHL-2025-8300,109.86,19.00,130.73,standard,shipping,archive/finanzen/2025/eingang/DHL-2025-8300.pdf,,
L2025-0067,2025-05-04,2025-05-18,income,invoice,Shopify Payments (Auszahlung),AUSZ-202505,468.65,0.00,468.65,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202505.pdf,,
L2025-0068,2025-05-04,2025-05-09,income,invoice,eBay GmbH,SETTL-202505,317.80,0.00,317.80,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202505.pdf,,
L2025-0069,2025-05-05,2025-06-04,expense,invoice,DHL Paket GmbH,DHL-2025-1703,110.32,19.00,131.28,standard,shipping,archive/finanzen/2025/eingang/DHL-2025-1703.pdf,,
L2025-0070,2025-05-12,2025-06-02,expense,invoice,Deutsche Post AG,DEUT-2025-6054,17.79,0.00,17.79,exempt,postage,archive/finanzen/2025/eingang/DEUT-2025-6054.pdf,,
L2025-0071,2025-05-13,2025-06-30,income,invoice,Praxis Dr. Lindqvist,RE-2025-070,137.31,0.00,137.31,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-070.pdf,,
L2025-0072,2025-05-14,2025-05-17,expense,invoice,Holzwerk Brandt GmbH,HOLZ-2025-6518,435.54,19.00,518.29,standard,goods,archive/finanzen/2025/eingang/HOLZ-2025-6518.pdf,,
L2025-0073,2025-05-15,2025-05-17,income,invoice,PayPal (Auszahlung),AUSZ-202505,472.11,0.00,472.11,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202505.pdf,,
L2025-0074,2025-05-16,2025-06-06,expense,invoice,sevDesk GmbH,SEVD-2025-2037,45.11,19.00,53.68,standard,software,archive/finanzen/2025/eingang/SEVD-2025-2037.pdf,,
L2025-0075,2025-05-17,2025-05-17,income,invoice,eBay GmbH,SETTL-202505,324.98,0.00,324.98,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202505.pdf,,
L2025-0076,2025-05-17,2025-05-31,expense,invoice,Amazon EU S.à r.l.,AMAZ-2025-2986,171.53,0.00,171.53,reverse_charge,fees_marketplace,archive/finanzen/2025/eingang/AMAZ-2025-2986.pdf,,
L2025-0077,2025-05-17,2025-06-07,expense,invoice,Ratioform GmbH,RATI-2025-8056,47.81,19.00,56.89,standard,packaging,archive/finanzen/2025/eingang/RATI-2025-8056.pdf,,
L2025-0078,2025-05-25,2025-06-14,income,invoice,Hofladen Wiese,RE-2025-069,154.13,0.00,154.13,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-069.pdf,,
L2025-0079,2025-05-26,2025-05-26,expense,invoice,Hetzner Online GmbH,HETZ-2025-9873,44.38,19.00,52.81,standard,software,archive/finanzen/2025/eingang/HETZ-2025-9873.pdf,,
L2025-0080,2025-06-04,2025-06-04,income,invoice,eBay GmbH,SETTL-202506,371.14,0.00,371.14,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202506.pdf,,
L2025-0081,2025-06-04,2025-06-07,expense,invoice,sevDesk GmbH,SEVD-2025-2149,48.71,19.00,57.96,standard,software,archive/finanzen/2025/eingang/SEVD-2025-2149.pdf,,
L2025-0082,2025-06-05,2025-07-05,expense,invoice,Hetzner Online GmbH,HETZ-2025-2572,50.93,19.00,60.61,standard,software,archive/finanzen/2025/eingang/HETZ-2025-2572.pdf,,
L2025-0083,2025-06-07,2025-06-07,expense,invoice,Deutsche Post AG,DEUT-2025-4749,24.13,0.00,24.13,exempt,postage,archive/finanzen/2025/eingang/DEUT-2025-4749.pdf,,
L2025-0084,2025-06-10,2025-06-24,expense,invoice,Ratioform GmbH,RATI-2025-3868,50.71,19.00,60.34,standard,packaging,archive/finanzen/2025/eingang/RATI-2025-3868.pdf,,
L2025-0085,2025-06-13,2025-07-13,expense,invoice,Leinenweberei Voss,LEIN-2025-9813,408.34,19.00,485.92,standard,goods,archive/finanzen/2025/eingang/LEIN-2025-9813.pdf,,
L2025-0086,2025-06-13,2025-07-13,expense,invoice,Amazon EU S.à r.l.,AMAZ-2025-9145,98.70,0.00,98.70,reverse_charge,fees_marketplace,archive/finanzen/2025/eingang/AMAZ-2025-9145.pdf,,
L2025-0087,2025-06-15,2025-06-29,income,invoice,Amazon EU S.à r.l.,SETTL-202506,384.62,0.00,384.62,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202506.pdf,,
L2025-0088,2025-06-16,2025-06-25,income,invoice,Shopify Payments (Auszahlung),AUSZ-202506,537.27,0.00,537.27,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202506.pdf,,
L2025-0089,2025-06-16,2025-07-06,income,invoice,Praxis Dr. Lindqvist,RE-2025-084,127.57,0.00,127.57,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-084.pdf,,
L2025-0090,2025-06-17,2025-06-29,income,invoice,Buchhandlung Kessler,RE-2025-086,140.96,0.00,140.96,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-086.pdf,,
L2025-0091,2025-06-18,2025-06-27,income,invoice,PayPal (Auszahlung),AUSZ-202506,448.96,0.00,448.96,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202506.pdf,,
L2025-0092,2025-06-18,2025-06-30,income,invoice,Buchhandlung Kessler,RE-2025-085,158.60,0.00,158.60,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-085.pdf,,
L2025-0093,2025-06-20,2025-07-04,expense,invoice,DHL Paket GmbH,DHL-2025-8177,90.84,19.00,108.10,standard,shipping,archive/finanzen/2025/eingang/DHL-2025-8177.pdf,,
L2025-0094,2025-06-20,2025-06-21,expense,invoice,DHL Paket GmbH,DHL-2025-8553,107.43,19.00,127.84,standard,shipping,archive/finanzen/2025/eingang/DHL-2025-8553.pdf,,
L2025-0095,2025-06-24,2025-07-01,expense,invoice,Holzwerk Brandt GmbH,HOLZ-2025-1812,375.33,19.00,446.64,standard,goods,archive/finanzen/2025/eingang/HOLZ-2025-1812.pdf,,
L2025-0096,2025-07-01,2025-07-13,income,invoice,Hofladen Wiese,RE-2025-100,119.76,0.00,119.76,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-100.pdf,,
L2025-0097,2025-07-03,2025-07-03,expense,invoice,DHL Paket GmbH,DHL-2025-7070,57.71,19.00,68.67,standard,shipping,archive/finanzen/2025/eingang/DHL-2025-7070.pdf,,
L2025-0098,2025-07-04,2025-07-11,expense,invoice,Karton König e.K.,KART-2025-9153,66.20,19.00,78.78,standard,packaging,archive/finanzen/2025/eingang/KART-2025-9153.pdf,,
L2025-0099,2025-07-06,2025-07-26,income,invoice,Praxis Dr. Lindqvist,RE-2025-101,113.76,0.00,113.76,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-101.pdf,,
L2025-0100,2025-07-07,2025-07-07,expense,invoice,Nordic Glass ApS,NORD-2025-2410,298.37,19.00,355.06,standard,goods,archive/finanzen/2025/eingang/NORD-2025-2410.pdf,,
L2025-0101,2025-07-08,2025-07-11,expense,invoice,Deutsche Post AG,DEUT-2025-8112,74.98,19.00,89.23,standard,shipping,archive/finanzen/2025/eingang/DEUT-2025-8112.pdf,,
L2025-0102,2025-07-10,2025-07-10,expense,invoice,eBay GmbH,EBAY-2025-7899,116.61,0.00,116.61,reverse_charge,fees_marketplace,archive/finanzen/2025/eingang/EBAY-2025-7899.pdf,,
L2025-0103,2025-07-14,2025-07-19,income,invoice,PayPal (Auszahlung),AUSZ-202507,478.38,0.00,478.38,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202507.pdf,,
L2025-0104,2025-07-14,2025-07-23,income,invoice,Amazon EU S.à r.l.,SETTL-202507,374.20,0.00,374.20,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202507.pdf,,
L2025-0105,2025-07-14,2025-07-15,expense,invoice,Deutsche Post AG,DEUT-2025-6532,16.67,0.00,16.67,exempt,postage,archive/finanzen/2025/eingang/DEUT-2025-6532.pdf,,
L2025-0106,2025-07-17,2025-07-19,income,invoice,PayPal (Auszahlung),AUSZ-202507,380.70,0.00,380.70,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202507.pdf,,
L2025-0107,2025-07-19,2025-07-26,income,invoice,Buchhandlung Kessler,RE-2025-102,101.68,0.00,101.68,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-102.pdf,,
L2025-0108,2025-07-20,2025-07-21,expense,invoice,Holzwerk Brandt GmbH,HOLZ-2025-2082,380.08,19.00,452.30,standard,goods,archive/finanzen/2025/eingang/HOLZ-2025-2082.pdf,,
L2025-0109,2025-07-24,2025-07-29,income,invoice,eBay GmbH,SETTL-202507,331.84,0.00,331.84,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202507.pdf,,
L2025-0110,2025-07-24,2025-07-31,expense,invoice,sevDesk GmbH,SEVD-2025-4981,35.18,19.00,41.86,standard,software,archive/finanzen/2025/eingang/SEVD-2025-4981.pdf,,
L2025-0111,2025-07-26,2025-08-09,expense,invoice,Hetzner Online GmbH,HETZ-2025-9382,32.83,19.00,39.07,standard,software,archive/finanzen/2025/eingang/HETZ-2025-9382.pdf,,
L2025-0112,2025-08-01,2025-08-03,income,invoice,Shopify Payments (Auszahlung),AUSZ-202508,403.08,0.00,403.08,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202508.pdf,,
L2025-0113,2025-08-03,2025-08-17,income,invoice,Shopify Payments (Auszahlung),AUSZ-202508,377.37,0.00,377.37,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202508.pdf,,
L2025-0114,2025-08-03,2025-08-03,income,invoice,eBay GmbH,SETTL-202508,378.91,0.00,378.91,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202508.pdf,,
L2025-0115,2025-08-07,2025-09-06,expense,invoice,eBay GmbH,EBAY-2025-1002,123.46,0.00,123.46,reverse_charge,fees_marketplace,archive/finanzen/2025/eingang/EBAY-2025-1002.pdf,,
L2025-0116,2025-08-08,2025-08-29,expense,invoice,Holzwerk Brandt GmbH,HOLZ-2025-9823,323.41,19.00,384.86,standard,goods,archive/finanzen/2025/eingang/HOLZ-2025-9823.pdf,,
L2025-0117,2025-08-09,2025-08-29,income,invoice,Hofladen Wiese,RE-2025-118,142.49,0.00,142.49,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-118.pdf,,
L2025-0118,2025-08-10,2025-08-11,expense,invoice,Leinenweberei Voss,LEIN-2025-1034,359.95,19.00,428.34,standard,goods,archive/finanzen/2025/eingang/LEIN-2025-1034.pdf,,
L2025-0119,2025-08-11,2025-08-31,income,invoice,Café Morgenrot,RE-2025-116,111.02,0.00,111.02,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-116.pdf,,
L2025-0120,2025-08-14,2025-08-28,income,invoice,Amazon EU S.à r.l.,SETTL-202508,417.97,0.00,417.97,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202508.pdf,,
L2025-0121,2025-08-16,2025-09-05,income,invoice,Buchhandlung Kessler,RE-2025-117,132.77,0.00,132.77,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-117.pdf,,
L2025-0122,2025-08-16,2025-08-23,expense,invoice,Deutsche Post AG,DEUT-2025-5221,21.91,0.00,21.91,exempt,postage,archive/finanzen/2025/eingang/DEUT-2025-5221.pdf,,
L2025-0123,2025-08-17,2025-09-07,expense,invoice,Shopify International Ltd.,SHOP-2025-4048,39.41,19.00,46.90,standard,software,archive/finanzen/2025/eingang/SHOP-2025-4048.pdf,,
L2025-0124,2025-08-22,2025-08-25,expense,invoice,DHL Paket GmbH,DHL-2025-2972,100.60,19.00,119.71,standard,shipping,archive/finanzen/2025/eingang/DHL-2025-2972.pdf,,
L2025-0125,2025-08-24,2025-09-23,expense,invoice,DHL Paket GmbH,DHL-2025-8714,110.77,19.00,131.82,standard,shipping,archive/finanzen/2025/eingang/DHL-2025-8714.pdf,,
L2025-0126,2025-08-24,2025-09-23,expense,invoice,Shopify International Ltd.,SHOP-2025-2416,32.96,19.00,39.22,standard,software,archive/finanzen/2025/eingang/SHOP-2025-2416.pdf,,
L2025-0127,2025-08-26,2025-09-16,expense,invoice,Karton König e.K.,KART-2025-1043,44.87,19.00,53.40,standard,packaging,archive/finanzen/2025/eingang/KART-2025-1043.pdf,,
L2025-0128,2025-09-02,2025-09-02,income,invoice,Amazon EU S.à r.l.,SETTL-202509,353.14,0.00,353.14,kleinunternehmer,sales_marketplace,archive/finanzen/2025/ausgang/SETTL-202509.pdf,,
L2025-0129,2025-09-09,2025-09-16,expense,invoice,Deutsche Post AG,DEUT-2025-1399,74.58,19.00,88.75,standard,shipping,archive/finanzen/2025/eingang/DEUT-2025-1399.pdf,,
L2025-0130,2025-09-09,2025-09-12,expense,invoice,Hetzner Online GmbH,HETZ-2025-3054,56.60,19.00,67.35,standard,software,archive/finanzen/2025/eingang/HETZ-2025-3054.pdf,,
L2025-0131,2025-09-11,2025-09-18,income,invoice,Hofladen Wiese,RE-2025-133,242.50,0.00,242.50,kleinunternehmer,sales_local,archive/finanzen/2025/ausgang/RE-2025-133.pdf,,
L2025-0132,2025-09-14,2025-09-23,income,invoice,Shopify Payments (Auszahlung),AUSZ-202509,566.68,0.00,566.68,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202509.pdf,,
L2025-0133,2025-09-15,2025-09-25,expense,invoice,Steuerkanzlei Behrens & Ude,STB-2025-09,380.00,19.00,452.20,standard,advisory,archive/finanzen/2025/eingang/STB-2025-09.pdf,,
L2025-0134,2025-09-16,2025-09-25,income,invoice,PayPal (Auszahlung),AUSZ-202509,539.95,0.00,539.95,kleinunternehmer,sales_shop,archive/finanzen/2025/ausgang/AUSZ-202509.pdf,,
